Fecha,Casos reportados,Límite Inferior,Predicción,Límite Superior
01/22/20,548.0,1041.0,1563.0,2084.0
01/23/20,643.0,1330.0,1940.0,2550.0
01/24/20,920.0,1695.0,2405.0,3115.0
01/25/20,1406.0,2157.0,2978.0,3799.0
01/26/20,2075.0,2738.0,3681.0,4624.0
01/27/20,2877.0,3465.0,4540.0,5614.0
01/28/20,5509.0,4372.0,5585.0,6798.0
01/29/20,6087.0,5494.0,6849.0,8204.0
01/30/20,8141.0,6873.0,8368.0,9862.0
01/31/20,9802.0,8551.0,10177.0,11803.0
02/01/20,11891.0,10570.0,12311.0,14052.0
02/02/20,16630.0,12967.0,14799.0,16631.0
02/03/20,19716.0,15769.0,17661.0,19554.0
02/04/20,23707.0,18983.0,20903.0,22823.0
02/05/20,27440.0,22593.0,24509.0,26425.0
02/06/20,30587.0,26553.0,28444.0,30334.0
02/07/20,34110.0,30787.0,32646.0,34505.0
02/08/20,36814.0,35193.0,37032.0,38872.0
02/09/20,39829.0,39661.0,41504.0,43347.0
02/10/20,42354.0,44082.0,45952.0,47822.0
02/11/20,44386.0,48365.0,50273.0,52180.0
02/12/20,44759.0,52433.0,54371.0,56309.0
02/13/20,59895.0,56228.0,58174.0,60119.0
02/14/20,66358.0,59710.0,61629.0,63549.0
02/15/20,68413.0,62852.0,64712.0,66571.0
02/16/20,70513.0,65645.0,67415.0,69184.0
02/17/20,72434.0,68093.0,69751.0,71409.0
02/18/20,74211.0,70209.0,71744.0,73279.0
02/19/20,74619.0,72016.0,73427.0,74838.0
02/20/20,75077.0,73539.0,74834.0,76129.0
02/21/20,75550.0,74808.0,76002.0,77195.0
02/22/20,77001.0,75853.0,76965.0,78076.0
02/23/20,77022.0,76705.0,77754.0,78804.0
02/24/20,77241.0,77392.0,78399.0,79407.0
02/25/20,77754.0,77941.0,78924.0,79908.0
02/26/20,78166.0,78377.0,79351.0,80324.0
02/27/20,78600.0,78722.0,79695.0,80669.0
02/28/20,78928.0,78994.0,79974.0,80955.0
02/29/20,79356.0,79208.0,80199.0,81190.0
03/01/20,79932.0,79377.0,80380.0,81384.0
03/02/20,80136.0,79509.0,80526.0,81543.0
03/03/20,80261.0,79614.0,80644.0,81673.0
03/04/20,80386.0,79697.0,80738.0,81779.0
03/05/20,80537.0,79762.0,80814.0,81866.0
03/06/20,80690.0,79813.0,80875.0,81936.0
03/07/20,80770.0,79853.0,80923.0,81994.0
03/08/20,80823.0,79885.0,80963.0,82040.0
03/09/20,80860.0,79911.0,80994.0,82078.0
03/10/20,80887.0,79931.0,81019.0,82108.0
03/11/20,80921.0,79946.0,81040.0,82133.0
03/12/20,80932.0,79959.0,81056.0,82153.0
03/13/20,80945.0,79969.0,81069.0,82169.0
03/14/20,80977.0,79977.0,81079.0,82182.0
03/15/20,81003.0,79983.0,81088.0,82193.0
03/16/20,81033.0,79988.0,81095.0,82201.0
03/17/20,81058.0,79992.0,81100.0,82208.0
03/18/20,81102.0,79995.0,81104.0,82214.0
03/19/20,81156.0,79997.0,81108.0,82218.0
03/20/20,81250.0,79999.0,81111.0,82222.0
03/21/20,81305.0,80001.0,81113.0,82225.0
03/22/20,81435.0,80002.0,81115.0,82227.0
03/23/20,81498.0,80003.0,81116.0,82229.0
03/24/20,81591.0,80004.0,81117.0,82231.0
03/25/20,81661.0,80004.0,81118.0,82232.0
03/26/20,81782.0,80005.0,81119.0,82233.0
03/27/20,81897.0,80005.0,81119.0,82234.0
03/28/20,81999.0,80005.0,81120.0,82234.0
03/29/20,,80006.0,81120.0,82235.0
03/30/20,,80006.0,81121.0,82235.0
03/31/20,,80006.0,81121.0,82235.0
04/01/20,,80006.0,81121.0,82236.0
04/02/20,,80006.0,81121.0,82236.0
04/03/20,,80006.0,81121.0,82236.0
04/04/20,,80006.0,81121.0,82236.0
04/05/20,,80006.0,81121.0,82236.0
04/06/20,,80006.0,81121.0,82236.0
04/07/20,,80007.0,81122.0,82237.0
