Fecha,Casos reportados,Límite Inferior,Predicción,Límite Superior
03/06/20,1.0,0.0,1.0,3.0
03/07/20,1.0,0.0,2.0,4.0
03/08/20,1.0,0.0,3.0,5.0
03/09/20,1.0,1.0,4.0,7.0
03/10/20,3.0,2.0,5.0,9.0
03/11/20,9.0,3.0,8.0,13.0
03/12/20,9.0,5.0,11.0,17.0
03/13/20,13.0,7.0,15.0,23.0
03/14/20,22.0,12.0,21.0,31.0
03/15/20,34.0,18.0,30.0,41.0
03/16/20,54.0,28.0,42.0,55.0
03/17/20,65.0,42.0,57.0,73.0
03/18/20,93.0,62.0,79.0,95.0
03/19/20,102.0,90.0,107.0,124.0
03/20/20,128.0,126.0,143.0,160.0
03/21/20,196.0,171.0,188.0,205.0
03/22/20,231.0,224.0,242.0,259.0
03/23/20,277.0,283.0,302.0,322.0
03/24/20,378.0,346.0,368.0,389.0
03/25/20,470.0,413.0,434.0,455.0
03/26/20,491.0,478.0,498.0,518.0
03/27/20,539.0,532.0,555.0,579.0
03/28/20,608.0,570.0,604.0,639.0
03/29/20,,595.0,645.0,694.0
03/30/20,,611.0,677.0,743.0
03/31/20,,620.0,701.0,782.0
04/01/20,,625.0,720.0,814.0
04/02/20,,628.0,733.0,839.0
04/03/20,,629.0,743.0,858.0
04/04/20,,629.0,750.0,872.0
04/05/20,,629.0,756.0,883.0
04/06/20,,628.0,759.0,890.0
04/07/20,,628.0,762.0,896.0
