Fecha,Casos reportados,Límite Inferior,Predicción,Límite Superior
01/31/20,2.0,4.0,7.0,9.0
02/01/20,2.0,5.0,8.0,11.0
02/02/20,2.0,6.0,10.0,13.0
02/03/20,2.0,8.0,12.0,16.0
02/04/20,2.0,10.0,14.0,19.0
02/05/20,2.0,12.0,17.0,23.0
02/06/20,2.0,14.0,21.0,27.0
02/07/20,3.0,18.0,25.0,33.0
02/08/20,3.0,22.0,30.0,39.0
02/09/20,3.0,27.0,37.0,47.0
02/10/20,3.0,32.0,45.0,57.0
02/11/20,3.0,40.0,54.0,68.0
02/12/20,3.0,49.0,65.0,82.0
02/13/20,3.0,59.0,79.0,99.0
02/14/20,3.0,73.0,95.0,118.0
02/15/20,3.0,89.0,116.0,142.0
02/16/20,3.0,108.0,140.0,171.0
02/17/20,3.0,132.0,169.0,206.0
02/18/20,3.0,162.0,205.0,247.0
02/19/20,3.0,198.0,247.0,297.0
02/20/20,3.0,241.0,299.0,357.0
02/21/20,20.0,295.0,362.0,429.0
02/22/20,62.0,360.0,438.0,515.0
02/23/20,155.0,439.0,529.0,619.0
02/24/20,229.0,536.0,640.0,743.0
02/25/20,322.0,654.0,773.0,892.0
02/26/20,453.0,798.0,934.0,1071.0
02/27/20,655.0,973.0,1129.0,1284.0
02/28/20,888.0,1185.0,1363.0,1541.0
02/29/20,1128.0,1444.0,1645.0,1847.0
03/01/20,1694.0,1758.0,1985.0,2213.0
03/02/20,2036.0,2138.0,2394.0,2650.0
03/03/20,2502.0,2599.0,2885.0,3171.0
03/04/20,3089.0,3156.0,3474.0,3792.0
03/05/20,3858.0,3828.0,4179.0,4529.0
03/06/20,4636.0,4637.0,5020.0,5404.0
03/07/20,5883.0,5608.0,6023.0,6439.0
03/08/20,7375.0,6768.0,7214.0,7660.0
03/09/20,9172.0,8151.0,8624.0,9097.0
03/10/20,10149.0,9789.0,10284.0,10779.0
03/11/20,12462.0,11719.0,12230.0,12741.0
03/12/20,12462.0,13976.0,14497.0,15017.0
03/13/20,17660.0,16596.0,17119.0,17642.0
03/14/20,21157.0,19608.0,20129.0,20650.0
03/15/20,24747.0,23032.0,23551.0,24069.0
03/16/20,27980.0,26879.0,27400.0,27921.0
03/17/20,31506.0,31144.0,31679.0,32214.0
03/18/20,35713.0,35812.0,36374.0,36936.0
03/19/20,41035.0,40852.0,41451.0,42051.0
03/20/20,47021.0,46218.0,46856.0,47494.0
03/21/20,53578.0,51850.0,52516.0,53181.0
03/22/20,59138.0,57666.0,58339.0,59013.0
03/23/20,63927.0,63565.0,64226.0,64886.0
03/24/20,69176.0,69428.0,70068.0,70708.0
03/25/20,74386.0,75115.0,75764.0,76414.0
03/26/20,80589.0,80482.0,81221.0,81960.0
03/27/20,86498.0,85430.0,86362.0,87294.0
03/28/20,92472.0,89915.0,91129.0,92343.0
03/29/20,,93928.0,95485.0,97041.0
03/30/20,,97478.0,99412.0,101345.0
03/31/20,,100584.0,102909.0,105235.0
04/01/20,,103273.0,105991.0,108710.0
04/02/20,,105582.0,108682.0,111781.0
04/03/20,,107548.0,111010.0,114472.0
04/04/20,,109212.0,113011.0,116810.0
04/05/20,,110612.0,114720.0,118829.0
04/06/20,,111784.0,116172.0,120561.0
04/07/20,,112761.0,117400.0,122040.0
