Fecha,Casos reportados,Límite Inferior,Predicción,Límite Superior
02/01/20,1.0,0.0,0.0,1.0
02/02/20,1.0,0.0,1.0,1.0
02/03/20,1.0,0.0,1.0,1.0
02/04/20,1.0,0.0,1.0,2.0
02/05/20,1.0,0.0,1.0,2.0
02/06/20,1.0,1.0,2.0,3.0
02/07/20,1.0,1.0,2.0,3.0
02/08/20,1.0,1.0,2.0,4.0
02/09/20,2.0,1.0,3.0,5.0
02/10/20,2.0,2.0,4.0,6.0
02/11/20,2.0,2.0,5.0,7.0
02/12/20,2.0,3.0,6.0,9.0
02/13/20,2.0,3.0,7.0,11.0
02/14/20,2.0,4.0,9.0,14.0
02/15/20,2.0,6.0,11.0,17.0
02/16/20,2.0,7.0,14.0,21.0
02/17/20,2.0,9.0,18.0,26.0
02/18/20,2.0,12.0,22.0,33.0
02/19/20,2.0,15.0,28.0,41.0
02/20/20,2.0,20.0,35.0,50.0
02/21/20,2.0,25.0,44.0,62.0
02/22/20,2.0,33.0,55.0,77.0
02/23/20,2.0,42.0,69.0,95.0
02/24/20,2.0,54.0,86.0,118.0
02/25/20,6.0,69.0,107.0,146.0
02/26/20,13.0,88.0,135.0,181.0
02/27/20,15.0,113.0,168.0,224.0
02/28/20,32.0,145.0,211.0,276.0
02/29/20,45.0,185.0,264.0,342.0
03/01/20,84.0,237.0,330.0,423.0
03/02/20,120.0,303.0,412.0,522.0
03/03/20,165.0,387.0,516.0,645.0
03/04/20,222.0,493.0,645.0,797.0
03/05/20,259.0,629.0,807.0,984.0
03/06/20,400.0,802.0,1008.0,1214.0
03/07/20,500.0,1021.0,1260.0,1498.0
03/08/20,673.0,1299.0,1573.0,1848.0
03/09/20,1073.0,1651.0,1964.0,2277.0
03/10/20,1695.0,2097.0,2451.0,2804.0
03/11/20,2277.0,2659.0,3055.0,3451.0
03/12/20,2277.0,3366.0,3804.0,4243.0
03/13/20,5232.0,4253.0,4732.0,5212.0
03/14/20,6391.0,5361.0,5877.0,6394.0
03/15/20,7798.0,6740.0,7286.0,7832.0
03/16/20,9942.0,8445.0,9012.0,9579.0
03/17/20,11748.0,10539.0,11116.0,11692.0
03/18/20,13910.0,13087.0,13664.0,14242.0
03/19/20,17963.0,16152.0,16728.0,17304.0
03/20/20,20410.0,19796.0,20379.0,20963.0
03/21/20,25374.0,24068.0,24684.0,25299.0
03/22/20,28768.0,29020.0,29695.0,30370.0
03/23/20,35136.0,34697.0,35445.0,36193.0
03/24/20,39885.0,41130.0,41931.0,42733.0
03/25/20,49515.0,48304.0,49113.0,49921.0
03/26/20,57786.0,56104.0,56898.0,57692.0
03/27/20,65719.0,64212.0,65149.0,66086.0
03/28/20,73235.0,72202.0,73687.0,75171.0
03/29/20,,79843.0,82305.0,84766.0
03/30/20,,86982.0,90788.0,94594.0
03/31/20,,93480.0,98935.0,104390.0
04/01/20,,99241.0,106577.0,113912.0
04/02/20,,104223.0,113586.0,122950.0
04/03/20,,108435.0,119886.0,131338.0
04/04/20,,111925.0,125445.0,138965.0
04/05/20,,114769.0,130271.0,145773.0
04/06/20,,117054.0,134402.0,151751.0
04/07/20,,118868.0,137896.0,156925.0
