Fecha,Casos reportados,Límite Inferior,Predicción,Límite Superior
01/22/20,1.0,0.0,0.0,0.0
01/23/20,1.0,0.0,0.0,0.0
01/24/20,2.0,0.0,0.0,0.0
01/25/20,2.0,0.0,0.0,0.0
01/26/20,5.0,0.0,0.0,0.0
01/27/20,5.0,0.0,0.0,0.0
01/28/20,5.0,0.0,0.0,0.0
01/29/20,5.0,0.0,0.0,0.0
01/30/20,5.0,0.0,0.0,0.0
01/31/20,7.0,0.0,0.0,0.0
02/01/20,8.0,0.0,0.0,0.0
02/02/20,8.0,0.0,0.0,0.0
02/03/20,11.0,0.0,0.0,0.0
02/04/20,11.0,0.0,0.0,0.0
02/05/20,11.0,0.0,0.0,0.0
02/06/20,11.0,0.0,0.0,0.0
02/07/20,11.0,0.0,0.0,0.0
02/08/20,11.0,0.0,0.0,0.0
02/09/20,11.0,0.0,0.0,0.0
02/10/20,11.0,0.0,0.0,0.0
02/11/20,12.0,0.0,0.0,0.0
02/12/20,12.0,0.0,0.0,0.0
02/13/20,13.0,0.0,0.0,0.0
02/14/20,13.0,0.0,0.0,1.0
02/15/20,13.0,0.0,1.0,1.0
02/16/20,13.0,0.0,1.0,1.0
02/17/20,13.0,0.0,1.0,1.0
02/18/20,13.0,1.0,1.0,2.0
02/19/20,13.0,1.0,2.0,3.0
02/20/20,13.0,1.0,2.0,4.0
02/21/20,15.0,2.0,3.0,5.0
02/22/20,15.0,3.0,5.0,6.0
02/23/20,15.0,4.0,6.0,9.0
02/24/20,51.0,5.0,8.0,12.0
02/25/20,51.0,7.0,12.0,16.0
02/26/20,57.0,10.0,16.0,21.0
02/27/20,58.0,14.0,21.0,29.0
02/28/20,60.0,19.0,29.0,39.0
02/29/20,68.0,27.0,40.0,53.0
03/01/20,74.0,38.0,54.0,71.0
03/02/20,98.0,53.0,74.0,96.0
03/03/20,118.0,73.0,101.0,129.0
03/04/20,149.0,102.0,138.0,174.0
03/05/20,217.0,142.0,188.0,235.0
03/06/20,262.0,197.0,257.0,316.0
03/07/20,402.0,274.0,350.0,426.0
03/08/20,518.0,381.0,477.0,574.0
03/09/20,583.0,529.0,651.0,773.0
03/10/20,959.0,734.0,887.0,1040.0
03/11/20,1281.0,1018.0,1209.0,1399.0
03/12/20,1663.0,1410.0,1646.0,1881.0
03/13/20,2179.0,1951.0,2239.0,2528.0
03/14/20,2727.0,2697.0,3045.0,3393.0
03/15/20,3499.0,3721.0,4135.0,4548.0
03/16/20,4632.0,5124.0,5606.0,6089.0
03/17/20,6421.0,7035.0,7585.0,8134.0
03/18/20,7783.0,9623.0,10231.0,10840.0
03/19/20,13677.0,13097.0,13748.0,14400.0
03/20/20,19100.0,17707.0,18379.0,19051.0
03/21/20,25489.0,23734.0,24406.0,25078.0
03/22/20,33276.0,31454.0,32128.0,32802.0
03/23/20,43847.0,41112.0,41831.0,42550.0
03/24/20,53740.0,52902.0,53724.0,54546.0
03/25/20,65778.0,66947.0,67870.0,68793.0
03/26/20,83836.0,83171.0,84104.0,85037.0
03/27/20,101657.0,101033.0,101985.0,102937.0
03/28/20,121478.0,119229.0,120815.0,122401.0
03/29/20,,136620.0,139726.0,142831.0
03/30/20,,152516.0,157837.0,163157.0
03/31/20,,166390.0,174408.0,182426.0
04/01/20,,177989.0,188951.0,199912.0
04/02/20,,187334.0,201252.0,215169.0
04/03/20,,194639.0,211338.0,228037.0
04/04/20,,200213.0,219398.0,238583.0
04/05/20,,204389.0,225708.0,247027.0
04/06/20,,207476.0,230569.0,253662.0
04/07/20,,209734.0,234268.0,258801.0
